カテゴリ,関西ペイント品番,関西ペイント色名,ロックペイント品番,ロックペイント色名,日本ペイント品番,日本ペイント色名,イサム塗料品番,イサム塗料色名,番号
バイオレット・マルーン系,,,,,,,0679,スペシャルバイオレット,1
バイオレット・マルーン系,628,ローヤルバイオレット,0036,ファーストバイオレット,395,ファーストバイオレット,0685,ローヤルバイオレット,2
バイオレット・マルーン系,609,ローヤルレッド,0041,シンクバイオレット,304,シンカシャバイオレット,0688,シンカシャバイオレット,3
バイオレット・マルーン系,612,ローヤルマルーン,0018,ファーストマルーン,529,スペシャルマルーン,0687,ローヤルマルーン,4
バイオレット・マルーン系,654,ボルドーマルーン,0042,パーマネントマルーン,552,ファインマルーン,0682,ファーストバイオレット,5
バイオレット・マルーン系,,,0217,ライトマルーン,,,,,6
バイオレット・マルーン系,570,ファーストマルーン,,,,,,,7
バイオレット・マルーン系,310,メジアムマルーン,,,,,,,8
バイオレット・マルーン系,608,リッチマルーン,,,621,ペガサスマルーン,,,9
バイオレット・マルーン系,635,ディープマルーン,0017,ディープマルーン,575,エクストラマルーン,0680,ディープマルーン,10
バイオレット・マルーン系,,,,,582,ロマネスクレッド,0645,パームレッド,11
バイオレット・マルーン系,644,ファインバイオレット,,,,,3610,ボンマルーン,12
バイオレット・マルーン系,,,,,618,フローラバイオレット,,,13
バイオレット・マルーン系,,,,,613,アイビスマルーン,,,14
レッド系,（637）,(スキールレッド),0038,モノライトレッド,,,0641,モノライトレッド,15
レッド系,637,スキールレッド,,,464,フレームレッド,0640,サンレッド,16
レッド系,610,ワインレッド,0040,シンクレッド,309,シンカシャレッド,0642,シンカシャレッド,17
レッド系,620,ストロングレッド,3700,ファーストレッド,596,ストロングレッド,0652,シグナルレッド,18
レッド系,623,ファインレッド,0048,マゼンタ,457,ルビーレッド,0684,マゼンタ,19
レッド系,606,メジアムレッド,0044,インドリンレッド,539,メイプルレッド,0643,メジアムレッド,20
レッド系,616,ノンブリートレッド,0255,スカーレット,,,,,21
レッド系,625,リッチレッド,0010,ブライトレッド,537,スレンレッド,0683,スレンレッド,22
レッド系,639,ボンレッドニュー,0045,パーマネントレッド,558,フレッシュレッド,0666,ボンレッド,23
レッド系,,,,,,,0665,ブリリアンレッド,24
レッド系,586,スカーレットメジアム,0207,スカーレット,,,3605,スカーレット,25
レッド系,560,ファーストレッド,0210,レッド,409,ウォッチングレッド,0667,ファーストレッド,26
レッド系,,,,,,,3660,TCレッドN,27
レッド系,642,シルクレッド,,,620,コーラルレッド,,,28
レッド系,643,ブライトレッド,0011,ビビットレッド,605,スパークレッド,650,ブライトレッド,29
レッド系,641,ビビアレッド,0211,シグナルレッド,554,ファイヤーレッド,,,30
ブラウン系,633,マホガニー,0069,マホガニー/マホガニーコンク,496,シンカシャブラウン,0479,スペシャルゴールド,31
ブラウン系,,,0068,オーガニックゴールド,497,ゴールドレッド,,,32
ブラウン系,554,エクセルブラウン,0070,フェリックレッド,477,アイアンレッド,0473,ゴールドブラウン,33
ブラウン系,587,ベネチャンレッド,0067,ベネチアンレッド,,,0468,ベネチャンレッド,34
ブラウン系,584,インディアンレッド,0225,オキサイドレッド,431,インディアンレッド,3404,インディアンレッド,35
ブラウン系,565,ゴールドエロー,0058,フェリックエロー,487,ジラフエロー,0112,オキサイドエロー,36
ブラウン系,634,ディープレッド,,,567,オータムレッド,,,37
ブラウン系,557,スーパーエクセルブラウン,,,571,マドンナレッド,0474,ゴールドニュー,38
エロー・オレンジ系,611,サフランエロー,0061,ファーストエロー,484,ユーキエロー,0118,フタルエロー,39
エロー・オレンジ系,631,レバノンエロー,0057,インドオレンジ,494,スーパーエロー,0108,イルガエロー,40
エロー・オレンジ系,,,,,,,0110,サンエロー,41
エロー・オレンジ系,629,ローヤルエロー,0059,インドリンエロー,533,エクストラエロー,0123,ポテンシャルエロー,42
エロー・オレンジ系,361,オキサイドエロー,0233,オーカー,339,マビコエロー,3120,オーカー,43
エロー・オレンジ系,481,レープエロー,0262,キュートエロー,541,ファインエロー,0121,クロロエロー,44
エロー・オレンジ系,540,メジアムエロー,0259/0260,メジアムエロー/パーマエロー,302,オレンジエロー,3116,メジアムエロー,45
エロー・オレンジ系,581,レモンエロー,0261,エロー,,,3103,エロー,46
エロー・オレンジ系,,,,,474,クロムエロー,,,47
エロー・オレンジ系,363,ライトエロー,0264/0265,ライトエロー/レモンエロー,,,3107,ライトエロー,48
エロー・オレンジ系,329,ウインザーエロー,,,325,パーマネントエロー,,,49
エロー・オレンジ系,,,,,498,サンオレンジ,,,50
エロー・オレンジ系,480,ローザンオレンジ,0256,ケントオレンジ,404,モリブデートオレンジ,0609,ライトスカーレット,51
エロー・オレンジ系,580,ライトスカーレット,0257,バーミリオン,403,インターオレンジ,3122,インターナショナルオレンジ,52
エロー・オレンジ系,,,,,543,マキシムオレンジ,0615,サンオレンジ,53
エロー・オレンジ系,645,ブライトエロー,0056,ブライトエロー,321,キャナリイエロー,,,54
エロー・オレンジ系,646,オレンジエロー,0055,サニーオレンジ,606,リッチエロー,,,55
グリーン系,607,サニーグリーン,0073,ライムグリーン,499,サングリーン,0337,ミントグリーン,56
グリーン系,366,ファーストグリーン,0075,ファーストグリーン,428,シャニングリーン,0340,フタロシャニングリーン,57
グリーン系,618,ディープグリーン,0077,Y.Sグリーン,525,グラスグリーン,0315,ディープグリーン,58
グリーン系,656,ローヤルグリーン,,,604,シャドウグリーン,0350,コザックグリーン,59
ブルー系,627,ローヤルブルーコンク,0083,インダンスレンブルー,456,スレンブルー,0224,スレンブルー,60
ブルー系,365,ファーストブルー,0078,ディープブルー,465,フレッシュブルー,0265,ファーストブルー,61
ブルー系,622,ナチュラルブルー,0079,シアニンブルー,624,オリエントブルー,0250,オリエントブルー,62
ブルー系,614,スペシャルブルー,0071,フレッシュブルー,396,シャニンブルー,0235/0232,スペシャルブルー/シャニンブルー,63
ブルー系,,,0081,パーマネントブルー,,,,,64
ブルー系,617,フレッシュブルー,0080,ロイヤルブルー,607,バカンスブルー,0215,フレッシュブルー,65
ブルー系,600,コバルトブルー,,,609,コバルトブルー,3205,コバルトブルー,66
ブルー系,621,オリエンタルブルー,0082,オリエントブルー,555,サワーブルー,0209,パーマネントブルーニュー,67
ブルー系,583,チンチングブルー,0278,ミロリーブルー,303,ダークブルー,3200,ダークブルー,68
ブルー系,638,ディープブルー,,,569,カスタムブルー,0207,ノンフラップブルー,69
ブルー系,640,ビビットブルー,,,612,ヘルメスブルー,,,70
ブルー系,647,ファイニスブルー,,,,,0234,マザリンブルー,71
ブルー系,652,プルシャンブルー,,,,,0212,コスミックブルー,72
ブラック系,,,,,,,3510,コールブラック,73
ブラック系,450,パワーブラック,0250/0251,ゼットブラック/スーパーブラック,480,スーパーブラック,,,74
ブラック系,400,ディープブラック,0234,ブラック,630,ディープブラック,3520,ディープブラック,75
ブラック系,411,スペシャルブラック,,,489,ブルーブラック,0559,チンチングブラック,76
ブラック系,582,チンチングブラック,0030,チンチングブラック,411,チンチングブラック,3500,ブラック,77
ブラック系,649,スーパーブラック,,,611,チンチングブラックNP,3515,ピッチブラック,78
ブラック系,,,,,640,ウルトラブラック,,,79